,weight
0,1564384.957
1,2167437.936
2,1911496.729
3,2139461.78
4,1584087.831
5,1788887.505
6,2148957.505
7,1687396.196
8,1920849.469
9,1713504.642
10,1906292.67
11,1911902.706
12,2267163.932
13,1825101.231
14,1944956.42
15,1779317.625
16,2326546.1
17,1795302.961
18,2093757.032
19,2118813.625
20,1889896.933
21,1813385.349
22,1876938.963
23,1510644.533
24,2223415.051
25,1891416.277
26,1946469.564
27,1675505.602
28,1680992.168
29,2369135.807
30,2198088.784
31,1863787.755
32,1965714.405
33,2147187.404
34,1949410.288
35,1527238.934
36,2024235.95
37,1731530.6
38,2064952.715
39,2360734.632
40,1983082.789
41,1967636.814
42,1855343.539
43,1987192.419
44,2052776.64
45,1810330.889
46,1920708.971
47,2206539.707
48,2131013.915
49,2344039.151
50,2227886.997
51,1900287.765
52,2608749.839
53,1852424.27
54,1801199.714
55,1676641.411
56,2080450.254
57,1651564.191
58,2223265.753
59,1708613.607
60,1596177.392
61,1885153.426
62,2156047.862
63,1965370.28
64,2148137.505
65,1824516.859
66,2147978.412
67,1520345.212
68,1461098.665
69,1554976.239
70,2168945.84
71,2075491.551
72,1855535.852
73,1778496.046
74,1752765.621
75,1816953.563
76,1925853.746
77,2044405.442
78,2076373.989
79,1773689.195
80,1783976.19
81,1958738.466
82,2528032.733
83,1771405.375
84,2051302.896
85,1905999.226
86,2232127.957
87,2027351.191
88,1967749.005
89,1935595.833
90,1788378.291
91,1864302.687
92,1465118.608
93,1927279.799
94,2264551.471
95,1946781.956
96,1463194.415
97,1629842.55
98,1586421.151
99,2266120.128
100,1661225.795
101,2267545.831
102,1835051.951
103,1759203.261
104,1580896.88
105,1814801.86
106,1569906.359
107,1772460.33
108,1701342.676
109,2290873.216
110,1889369.543
111,1435963.507
112,1838444.021
113,1679257.124
114,1774103.258
115,2130752.587
116,1948804.699
117,2173569.247
118,1792982.289
119,2207743.358
120,1995416.031
121,2150924.055
122,1998657.723
123,1634192.629
124,1863350.249
125,2277111.756
126,1692369.847
127,1755220.118
128,1781533.411
129,1837925.736
130,1890033.275
131,1951830.175
132,1725774.872
133,1790646.165
134,1659847.525
135,1902672.127
136,1839482.94
137,2489188.796
138,1924075.429
139,1705315.908
140,2283178.28
141,1793162.854
142,1841161.889
143,2285162.141
144,1917231.317
145,1581226.543
146,2115560.516
147,1765721.675
148,1665044.781
149,1630127.259
150,1851014.098
151,2203826.945
152,1782457.309
153,2148350.893
154,1920938.54
155,2251884.947
156,1648297.473
157,1723840.512
158,1683258.522
159,2409950.714
160,2194820.322
161,3038881.488
162,1488276.675
163,1845325.795
164,1924451.099
165,2034291.634
166,1785112.082
167,1577272.026
168,1603473.881
169,1868217.946
170,1989646.229
171,2043898.392
172,1702728.059
173,1697763.256
174,2012170.978
175,2145843.893
176,2099307.547
177,1951496.456
178,1712777.126
179,2172788.338
180,1558424.3
181,2374946.477
182,1841372.454
183,1605700.407
184,1738230.932
185,1966465.451
186,1643739.928
187,1738169.219
188,2599429.986
189,2088742.769
190,1706355.65
191,2386119.21
192,2231344.731
193,2106094
194,1643768.817
195,1936963.747
196,2082418.626
197,1670675.438
198,1572968.506
199,2040338.024
200,2524443.328
201,2401025.878
202,1539208.396
203,2082732.835
204,1836384.67
205,1860852.783
206,2002227.164
207,1446167.18
208,2082090.882
209,2172201.062
210,1760766.845
211,1667811.369
212,1879251.88
213,1684987.427
214,1726173.209
215,1466569.959
216,1944828.727
217,1717092.027
218,1783433.143
219,2177053.859
220,1905099.26
221,1824723.891
222,2460900.406
223,1653367.03
224,2160611.164
225,2464730.037
226,1756278.31
227,2275723.532
228,2132703.653
229,1807061.467
230,2097737.763
231,2155843.03
232,1740553.276
233,1911581.422
234,2363641.366
235,1731123.326
236,1740614.201
237,1744291.681
238,1991871.221
239,1827714.887
240,1918163.755
241,1859027.819
242,1765847.877
243,2326597.018
244,1510341.67
245,1928420.05
246,1650421.332
247,1784677.176
248,1934078.98
249,1933031.202
250,2331391.408
251,1969295.923
252,1842571.13
253,2054251.451
254,1678453.028
255,1887117.563
256,2207292.131
257,2182201.318
258,1715734.791
259,2198849.777
260,1667826.157
261,1631074.963
262,2132810.654
263,2196840.603
264,2346891.718
265,2176826.26
266,1692073.371
267,2030078.274
268,1772641.019
269,1764725.234
270,1875204.751
271,1951643.368
272,1877680.94
273,2164053.727
274,2322224.556
275,2150970.054
276,2285868.618
277,2395101.266
278,1746207.628
279,1835756.984
280,2469230.713
281,1849983.251
282,1814822.378
283,1881451.708
284,1482805.469
285,1838995.697
286,1774629.253
